batchId,productId,productionDate,machineId,operatorId,producedQty,shift
B100000,P1040,2023-08-17,M1,O18,251,MORNING
B100001,P1047,2023-06-28,M10,O28,288,MORNING
B100002,P1005,2024-03-23,M4,O33,177,AFTERNOON
B100003,P1044,2025-05-09,M4,O29,196,AFTERNOON
B100004,P1051,2023-01-14,M13,O11,229,MORNING
B100005,P1048,2024-11-20,M2,O6,189,MORNING
B100006,P1022,2024-12-05,M10,O17,289,AFTERNOON
B100007,P1059,2025-02-14,M2,O36,143,MORNING
B100008,P1040,2025-01-10,M10,O13,243,MORNING
B100009,P1018,2023-06-13,M14,O15,229,NIGHT
B100011,P1044,2023-05-27,M10,O11,305,AFTERNOON
B100012,P1015,2023-12-01,M8,O25,230,AFTERNOON
B100013,P1014,2024-10-26,M14,O4,408,MORNING
B100014,P1002,2024-10-08,M7,O18,391,AFTERNOON
B100015,P1045,2024-10-06,M4,O32,312,MORNING
B100016,P1058,2025-07-28,M3,O17,323,AFTERNOON
B100017,P1047,2025-05-27,M15,O38,338,MORNING
B100018,P1014,2023-10-11,M9,O32,268,MORNING
B100019,P1040,2023-11-24,M13,O28,261,AFTERNOON
B100020,P1024,2025-02-20,M10,O30,66,NIGHT
B100021,P1000,2023-08-23,M11,O35,216,NIGHT
B100022,P1049,2024-11-27,M2,O19,179,NIGHT
B100023,P1056,2024-06-23,M9,O12,280,AFTERNOON
B100024,P1006,2024-09-03,M14,O33,218,NIGHT
B100025,P1034,2023-01-02,M10,O21,224,AFTERNOON
B100026,P1007,2025-01-13,M15,O20,253,AFTERNOON
B100029,P1038,2025-05-16,M4,O35,236,NIGHT
B100030,P1044,2024-02-16,M12,O20,165,MORNING
B100031,P1057,2025-07-13,M2,O16,311,MORNING
B100032,P1021,2023-02-13,M10,O36,256,MORNING
B100033,P1040,2023-05-01,M4,O5,298,NIGHT
B100034,P1055,2024-11-07,M2,O33,257,MORNING
B100035,P1008,2025-08-26,M4,O31,353,NIGHT
B100036,P1012,2023-07-13,M2,O28,206,NIGHT
B100037,P1003,2023-07-21,M1,O26,307,AFTERNOON
B100039,P1017,2025-08-05,M4,O5,321,AFTERNOON
B100040,P1055,2023-07-20,M1,O35,344,NIGHT
B100043,P1059,2025-07-20,M5,O28,253,AFTERNOON
B100044,P1046,2025-09-23,M3,O13,196,AFTERNOON
B100045,P1034,2023-05-05,M12,O21,426,MORNING
B100047,P1011,2023-05-21,M10,O5,398,AFTERNOON
B100048,P1015,2025-04-06,M2,O37,252,AFTERNOON
B100050,P1045,2024-10-05,M4,O17,167,MORNING
B100051,P1020,2023-05-29,M1,O30,313,AFTERNOON
B100052,P1036,2023-07-24,M2,O35,262,NIGHT
B100053,P1056,2023-05-21,M15,O16,303,MORNING
B100054,P1010,2025-06-16,M14,O35,222,NIGHT
B100055,P1041,2023-01-17,M11,O36,157,MORNING
B100056,P1042,2023-08-01,M15,O9,236,AFTERNOON
B100057,P1009,2024-07-11,M5,O39,396,MORNING
B100059,P1003,2023-07-09,M11,O28,248,NIGHT
B100062,P1056,2023-11-02,M9,O3,296,MORNING
B100063,P1008,2023-03-27,M5,O24,170,NIGHT
B100064,P1050,2023-03-23,M15,O23,263,MORNING
B100065,P1049,2025-04-12,M10,O10,301,NIGHT
B100066,P1015,2023-11-29,M13,O12,261,AFTERNOON
B100067,P1021,2025-04-23,M13,O16,239,MORNING
B100068,P1050,2023-08-10,M7,O3,281,NIGHT
B100069,P1029,2024-12-17,M5,O15,211,MORNING
B100072,P1001,2023-08-25,M15,O17,327,MORNING
B100073,P1006,2025-06-08,M6,O21,411,AFTERNOON
B100074,P1032,2023-08-25,M7,O37,257,AFTERNOON
B100075,P1033,2024-02-08,M6,O28,269,MORNING
B100077,P1032,2024-09-25,M11,O27,219,MORNING
B100078,P1044,2024-08-28,M9,O9,286,MORNING
B100080,P1035,2023-01-01,M5,O19,280,AFTERNOON
B100082,P1032,2025-08-27,M13,O11,219,AFTERNOON
B100083,P1039,2024-11-17,M2,O16,201,AFTERNOON
B100084,P1014,2024-02-12,M3,O2,442,AFTERNOON
B100089,P1051,2025-08-09,M11,O34,385,NIGHT
B100091,P1053,2025-07-02,M15,O11,177,AFTERNOON
B100092,P1030,2025-07-10,M5,O16,280,NIGHT
B100093,P1031,2024-05-04,M5,O29,202,MORNING
B100094,P1018,2024-04-25,M5,O22,212,MORNING
B100095,P1014,2025-02-23,M12,O10,329,AFTERNOON
B100096,P1004,2025-04-29,M7,O22,180,MORNING
B100097,P1026,2025-03-08,M15,O38,230,NIGHT
B100098,P1001,2025-02-18,M8,O1,305,MORNING
B100100,P1057,2024-03-27,M8,O15,238,MORNING
B100101,P1042,2025-04-08,M12,O11,329,NIGHT
B100102,P1058,2023-09-19,M10,O35,319,AFTERNOON
B100103,P1001,2023-06-21,M11,O28,261,MORNING
B100104,P1029,2024-01-08,M1,O17,214,MORNING
B100105,P1048,2025-02-15,M5,O27,283,MORNING
B100106,P1005,2025-08-21,M1,O35,413,MORNING
B100107,P1004,2023-03-24,M13,O2,305,NIGHT
B100108,P1012,2023-02-11,M10,O10,255,MORNING
B100109,P1013,2025-08-10,M12,O17,329,NIGHT
B100110,P1010,2023-08-23,M13,O11,282,MORNING
B100111,P1019,2025-02-07,M7,O13,242,MORNING
B100112,P1044,2024-05-12,M2,O20,305,MORNING
